MS SubClass,Lot Frontage,Lot Area,Land Slope,Condition 1,Condition 2,Overall Qual,Overall Cond,Year Remod/Add,Mas Vnr Area,Exter Cond,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Functional,Fireplaces,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Yr Sold,Sale Condition,SalePrice,Density_Ratio,BathPerBed,Garage_per_Living,House_Age,Years_Since_Remod,Age_Group,Remod_Group,Neighborhood_AvgPrice,Zone_AvgPrice,SaleType_AvgPrice,Lot_Area_log,Total_Bath,Kitchen Qual_num,Heating QC_num,Garage Qual_num,Fireplace Qu_num,Bsmt Qual_num,Exter Qual_num,Quality_Score,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasW,Heating_OthW,Heating_Other,Central Air_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD 
20,141.0,31770,1,6,5,6,5,1960,112.0,4,6,5,3,639.0,5,0.0,441.0,1080.0,1656,0,1656,1.0,1,0,3,1,7,8,2,1960.0,4,2.0,528.0,5,2,210,62,0,5,2010,5,215000,0.052123005256365866,0.25,0.31864815932407964,50,50,2,1,144279.99071925753,191252.78333333333,174436.85881877024,10.366309203003638,2.0,3,2,3,4,3,3,3.4285714285714284,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,80.0,11622,1,4,5,5,6,1961,1.0,4,4,2,2,468.0,3,144.0,270.0,882.0,896,0,896,0.0,1,0,2,1,5,8,0,1961.0,2,1.0,730.0,5,3,140,0,0,6,2010,5,105000,0.07708853136023402,0.3333333333333333,0.8138238573021181,49,49,2,1,144279.99071925753,133974.38461538462,174436.85881877024,9.360741172643708,1.0,3,3,3,0,3,3,2.857142857142857,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,81.0,14267,1,6,5,6,6,1958,108.0,4,4,2,5,923.0,5,0.0,406.0,1329.0,1329,0,1329,0.0,1,1,3,1,6,8,0,1958.0,2,1.0,312.0,5,3,393,36,0,6,2010,5,172000,0.09314550042052144,0.25,0.23458646616541354,52,52,1,1,144279.99071925753,191252.78333333333,174436.85881877024,9.565774546478782,1.5,4,3,3,0,3,3,3.142857142857143,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,93.0,11160,1,6,5,7,5,1968,1.0,4,4,2,5,1065.0,5,0.0,1045.0,2110.0,2110,0,2110,1.0,2,1,3,1,8,8,2,1968.0,4,2.0,522.0,5,3,0,0,0,4,2010,5,244000,0.18905116029029656,0.5,0.2472761724301279,42,42,2,1,144279.99071925753,191252.78333333333,174436.85881877024,9.320180837655714,3.5,5,5,3,3,3,4,4.285714285714286,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,74.0,13830,1,6,5,5,5,1998,1.0,4,4,2,7,791.0,5,0.0,137.0,928.0,928,701,1629,0.0,2,1,3,1,6,8,1,1997.0,4,2.0,482.0,5,3,212,34,0,3,2010,5,189900,0.1177789024654761,0.5,0.29570552147239265,13,12,3,3,191218.9263803681,191252.78333333333,174436.85881877024,9.534667728624708,2.5,3,4,3,3,4,3,3.5714285714285716,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,78.0,9978,1,6,5,6,6,1998,20.0,4,4,2,7,602.0,5,0.0,324.0,926.0,926,678,1604,0.0,2,1,3,1,7,8,1,1998.0,4,2.0,470.0,5,3,360,36,0,6,2010,5,195500,0.16073754885259045,0.5,0.29283489096573206,12,12,3,3,191218.9263803681,191252.78333333333,174436.85881877024,9.208238163884312,2.5,4,5,3,4,3,3,4.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,41.0,4920,1,6,5,8,5,2001,1.0,4,4,3,7,616.0,5,0.0,722.0,1338.0,1338,0,1338,1.0,2,0,2,1,6,8,0,2001.0,4,2.0,582.0,5,3,0,0,170,4,2010,5,213500,0.27189595610648243,0.6666666666666666,0.4346527259148618,9,9,3,3,318882.04,191252.78333333333,174436.85881877024,8.501267040865978,3.0,4,5,3,0,4,4,4.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,43.0,5005,1,6,5,8,5,1992,1.0,4,4,2,5,263.0,5,0.0,1017.0,1280.0,1280,0,1280,0.0,2,0,2,1,5,8,0,1992.0,3,2.0,506.0,5,3,0,82,0,1,2010,5,191500,0.2556931681981622,0.6666666666666666,0.3950039032006245,18,18,3,2,318882.04,191252.78333333333,174436.85881877024,8.518392471991719,2.0,4,5,3,0,4,4,4.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,39.0,5389,1,6,5,8,5,1996,1.0,4,4,2,7,1180.0,5,0.0,415.0,1595.0,1616,0,1616,1.0,2,0,2,1,5,8,1,1995.0,3,2.0,608.0,5,3,237,152,0,3,2010,5,236500,0.29981447124304267,0.6666666666666666,0.37600494743351887,15,14,3,3,318882.04,191252.78333333333,174436.85881877024,8.592300663903043,3.0,4,5,3,3,4,4,4.428571428571429,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,60.0,7500,1,6,5,7,5,1999,1.0,4,4,2,6,0.0,5,0.0,994.0,994.0,1028,776,1804,0.0,2,1,3,1,7,8,1,1999.0,4,2.0,442.0,5,3,140,60,0,6,2010,5,189000,0.2405012664978003,0.5,0.24487534626038782,11,11,3,3,191218.9263803681,191252.78333333333,174436.85881877024,8.922791623969637,2.5,4,4,3,3,3,3,3.857142857142857,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
