MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Cond,Foundation,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Density_Ratio,BathPerBed,Garage_per_Living,House_Age,Years_Since_Remod,Age_Group,Remod_Group,Neighborhood_AvgPrice,Zone_AvgPrice,SaleType_AvgPrice,Lot_Area_log,Total_Bath,Kitchen Qual_num,Heating QC_num,Garage Qual_num,Fireplace Qu_num,Bsmt Qual_num,Exter Qual_num,Quality_Score
20,RL,141.0,31770,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,BrkFace,Stone,112.0,TA,CBlock,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,Y,SBrkr,1656,0,1656,1.0,1,0,3,1,7,Typ,2,Attchd,1960.0,Fin,2.0,528.0,TA,P,210,62,0,5,2010,WD ,Normal,215000,0.052123005256365866,0.25,0.31864815932407964,50,50,Medium,Very Old,144279.99071925753,191252.78333333333,174436.85881877024,10.366309203003638,2.0,3,2,3,4,3,3,3.4285714285714284
20,RH,80.0,11622,Pave,Reg,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,Gable,CompShg,VinylSd,None,1.0,TA,CBlock,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,Y,SBrkr,896,0,896,0.0,1,0,2,1,5,Typ,0,Attchd,1961.0,Unf,1.0,730.0,TA,Y,140,0,0,6,2010,WD ,Normal,105000,0.07708853136023402,0.3333333333333333,0.8138238573021181,49,49,Medium,Very Old,144279.99071925753,133974.38461538462,174436.85881877024,9.360741172643708,1.0,3,3,3,0,3,3,2.857142857142857
20,RL,81.0,14267,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,Hip,CompShg,Wd Sdng,BrkFace,108.0,TA,CBlock,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,Y,SBrkr,1329,0,1329,0.0,1,1,3,1,6,Typ,0,Attchd,1958.0,Unf,1.0,312.0,TA,Y,393,36,0,6,2010,WD ,Normal,172000,0.09314550042052144,0.25,0.23458646616541354,52,52,Old,Very Old,144279.99071925753,191252.78333333333,174436.85881877024,9.565774546478782,1.5,4,3,3,0,3,3,3.142857142857143
20,RL,93.0,11160,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,Hip,CompShg,BrkFace,None,1.0,TA,CBlock,TA,No,ALQ,1065.0,Unf,0.0,1045.0,2110.0,GasA,Y,SBrkr,2110,0,2110,1.0,2,1,3,1,8,Typ,2,Attchd,1968.0,Fin,2.0,522.0,TA,Y,0,0,0,4,2010,WD ,Normal,244000,0.18905116029029656,0.5,0.2472761724301279,42,42,Medium,Very Old,144279.99071925753,191252.78333333333,174436.85881877024,9.320180837655714,3.5,5,5,3,3,3,4,4.285714285714286
60,RL,74.0,13830,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1998,Gable,CompShg,VinylSd,None,1.0,TA,PConc,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,Y,SBrkr,928,701,1629,0.0,2,1,3,1,6,Typ,1,Attchd,1997.0,Fin,2.0,482.0,TA,Y,212,34,0,3,2010,WD ,Normal,189900,0.1177789024654761,0.5,0.29570552147239265,13,12,New,Medium,191218.9263803681,191252.78333333333,174436.85881877024,9.534667728624708,2.5,3,4,3,3,4,3,3.5714285714285716
60,RL,78.0,9978,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,Gable,CompShg,VinylSd,BrkFace,20.0,TA,PConc,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,Y,SBrkr,926,678,1604,0.0,2,1,3,1,7,Typ,1,Attchd,1998.0,Fin,2.0,470.0,TA,Y,360,36,0,6,2010,WD ,Normal,195500,0.16073754885259045,0.5,0.29283489096573206,12,12,New,Medium,191218.9263803681,191252.78333333333,174436.85881877024,9.208238163884312,2.5,4,5,3,4,3,3,4.0
120,RL,41.0,4920,Pave,Reg,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,Gable,CompShg,CemntBd,None,1.0,TA,PConc,TA,Mn,GLQ,616.0,Unf,0.0,722.0,1338.0,GasA,Y,SBrkr,1338,0,1338,1.0,2,0,2,1,6,Typ,0,Attchd,2001.0,Fin,2.0,582.0,TA,Y,0,0,170,4,2010,WD ,Normal,213500,0.27189595610648243,0.6666666666666666,0.4346527259148618,9,9,New,Medium,318882.04,191252.78333333333,174436.85881877024,8.501267040865978,3.0,4,5,3,0,4,4,4.0
120,RL,43.0,5005,Pave,IR1,HLS,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,Gable,CompShg,HdBoard,None,1.0,TA,PConc,TA,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,GasA,Y,SBrkr,1280,0,1280,0.0,2,0,2,1,5,Typ,0,Attchd,1992.0,RFn,2.0,506.0,TA,Y,0,82,0,1,2010,WD ,Normal,191500,0.2556931681981622,0.6666666666666666,0.3950039032006245,18,18,New,Old,318882.04,191252.78333333333,174436.85881877024,8.518392471991719,2.0,4,5,3,0,4,4,4.0
120,RL,39.0,5389,Pave,IR1,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1996,Gable,CompShg,CemntBd,None,1.0,TA,PConc,TA,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,GasA,Y,SBrkr,1616,0,1616,1.0,2,0,2,1,5,Typ,1,Attchd,1995.0,RFn,2.0,608.0,TA,Y,237,152,0,3,2010,WD ,Normal,236500,0.29981447124304267,0.6666666666666666,0.37600494743351887,15,14,New,Medium,318882.04,191252.78333333333,174436.85881877024,8.592300663903043,3.0,4,5,3,3,4,4,4.428571428571429
60,RL,60.0,7500,Pave,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,None,1.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,994.0,994.0,GasA,Y,SBrkr,1028,776,1804,0.0,2,1,3,1,7,Typ,1,Attchd,1999.0,Fin,2.0,442.0,TA,Y,140,60,0,6,2010,WD ,Normal,189000,0.2405012664978003,0.5,0.24487534626038782,11,11,New,Medium,191218.9263803681,191252.78333333333,174436.85881877024,8.922791623969637,2.5,4,4,3,3,3,3,3.857142857142857
