MS SubClass,Lot Frontage,Lot Area,Land Slope,Condition 1,Condition 2,Overall Qual,Overall Cond,Year Remod/Add,Mas Vnr Area,Exter Cond,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Functional,Fireplaces,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Yr Sold,Sale Condition,Density_Ratio,BathPerBed,Garage_per_Living,House_Age,Years_Since_Remod,Age_Group,Remod_Group,Neighborhood_AvgPrice,Zone_AvgPrice,SaleType_AvgPrice,Lot_Area_log,Total_Bath,Kitchen Qual_num,Heating QC_num,Garage Qual_num,Fireplace Qu_num,Bsmt Qual_num,Exter Qual_num,Quality_Score,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasW,Heating_OthW,Heating_Other,Central Air_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD 
20,70.0,12250,1,6,5,5,6,1978,180.0,4,4,3,5,781.0,5,0.0,83.0,864.0,1174,0,1174,1.0,1,0,3,1,5,8,0,1978.0,2,2.0,528.0,5,3,211,0,280,5,2008,5,0.09582891192555709,0.25,0.4493617021276596,30,30,2,2,201812.56818181818,191252.78333333333,174436.85881877024,9.41336284529417,2.0,3,5,3,0,4,3,3.2857142857142856,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,69.0,9920,1,6,5,5,6,1969,1.0,4,4,5,5,523.0,5,0.0,448.0,971.0,971,0,971,0.0,1,1,3,1,5,8,1,1969.0,2,1.0,300.0,5,3,0,0,0,5,2006,5,0.0978731982663038,0.25,0.30864197530864196,37,37,2,1,201812.56818181818,191252.78333333333,174436.85881877024,9.202409001649903,1.5,3,3,3,1,4,3,3.142857142857143,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,36.0,15523,1,6,5,5,6,1972,1.0,4,4,4,3,460.0,5,0.0,404.0,864.0,864,0,864,1.0,1,0,3,1,5,8,1,1972.0,2,1.0,338.0,5,3,0,0,0,8,2009,5,0.055655758825045094,0.25,0.39075144508670523,37,37,2,1,201812.56818181818,191252.78333333333,174436.85881877024,9.650142492488797,2.0,3,5,3,2,3,3,3.4285714285714284,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,80.0,8146,1,6,5,4,8,2003,1.0,3,4,2,6,0.0,5,0.0,405.0,405.0,717,322,1039,0.0,1,0,2,1,6,8,0,1940.0,2,1.0,281.0,5,1,0,0,168,5,2009,5,0.12753160672640235,0.3333333333333333,0.2701923076923077,109,6,1,3,122343.4449339207,191252.78333333333,174436.85881877024,9.005405040310642,1.0,3,4,3,0,2,4,2.857142857142857,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,93.0,15306,1,6,5,8,5,2007,100.0,4,4,5,7,80.0,5,0.0,1652.0,1732.0,1776,0,1776,1.0,2,0,3,1,7,8,1,2006.0,4,3.0,712.0,5,3,0,0,0,5,2007,6,0.11602534788005488,0.5,0.4006752954417558,1,0,4,4,246599.54166666666,191252.78333333333,275744.7008547009,9.636065519091707,3.0,4,5,3,4,5,4,4.714285714285714,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,70.0,8294,1,6,5,4,5,1971,1.0,4,4,2,6,0.0,5,0.0,858.0,858.0,872,0,872,0.0,1,0,3,1,5,8,0,1974.0,2,4.0,480.0,5,3,0,0,0,6,2007,5,0.10512356841470766,0.25,0.5498281786941581,36,36,2,1,144279.99071925753,191252.78333333333,174436.85881877024,9.023408202624545,1.0,3,3,3,0,3,3,2.7142857142857144,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90,60.0,7200,1,6,5,4,5,1950,1.0,4,0,0,0,0.0,0,0.0,0.0,0.0,1040,0,1040,0.0,2,0,2,2,6,8,0,1956.0,2,2.0,420.0,5,3,0,0,0,6,2009,5,0.1444243855020136,0.6666666666666666,0.4034582132564842,60,59,1,1,144279.99071925753,191252.78333333333,174436.85881877024,8.881975184248867,2.0,3,2,3,0,0,3,2.142857142857143,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,59.0,11796,1,6,5,7,5,2005,1.0,4,4,4,6,0.0,5,0.0,847.0,847.0,847,1112,1959,0.0,2,1,4,1,8,8,1,2004.0,4,2.0,434.0,5,3,100,48,0,7,2007,5,0.16605916758497924,0.4,0.22142857142857142,3,2,4,4,191218.9263803681,191252.78333333333,174436.85881877024,9.375600540841843,2.5,4,5,3,4,4,4,4.428571428571429,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,62.0,7500,1,6,5,7,5,2008,210.0,4,4,2,7,902.0,5,0.0,316.0,1218.0,1218,0,1218,1.0,2,0,2,1,6,8,0,2008.0,4,2.0,462.0,5,3,168,168,0,4,2008,6,0.1623783495533929,0.6666666666666666,0.37899917965545526,1,0,4,4,229707.32417582418,218986.94964028776,275744.7008547009,8.922791623969637,3.0,4,5,3,0,4,4,3.857142857142857,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,80.0,20781,1,8,5,7,7,2003,1.0,4,4,2,3,297.0,4,68.0,1203.0,1568.0,2156,0,2156,0.0,2,0,3,1,9,8,1,1968.0,3,2.0,508.0,5,3,0,80,0,6,2006,5,0.10374362429025118,0.5,0.2355122855818266,38,3,2,4,188406.90839694656,191252.78333333333,174436.85881877024,9.941842506412591,2.0,3,3,4,4,3,3,3.857142857142857,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
